year,type,discipline,event,noc,medal
1920,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",NOR,Gold
1924,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",NOR,Bronze
1936,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",NOR,Gold
1948,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",NOR,Bronze
1908,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",NOR,Bronze
1912,Summer,Shooting,"Military Rifle, Three Positions, 300 metres, Men (Olympic)",NOR,Bronze
1992,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",NOR,Silver
2000,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",NOR,Bronze
1920,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",NOR,Bronze
1900,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",NOR,Bronze
1900,Summer,Shooting,"Free Rifle, Prone, 300 metres, Men (Olympic)",NOR,Bronze
1900,Summer,Shooting,"Free Rifle, Standing, 300 metres, Men (Olympic)",NOR,Silver
1968,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",NZL,Bronze
1984,Summer,Shooting,"Trap, Open (Olympic)",PER,Silver
1992,Summer,Shooting,"Skeet, Open (Olympic)",PER,Silver
1948,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",PER,Gold
1992,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",POL,Bronze
1996,Summer,Shooting,"Air Rifle, 10 metres, Women (Olympic)",POL,Gold
1996,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",POL,Bronze
2000,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",POL,Gold
1976,Summer,Shooting,"Skeet, Open (Olympic)",POL,Bronze
1976,Summer,Shooting,"Running Target, 50 metres, Open (Olympic)",POL,Bronze
1936,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",POL,Bronze
1996,Summer,Shooting,"Skeet, Men (Olympic)",POL,Silver
1956,Summer,Shooting,"Trap, Men (Olympic)",POL,Silver
1968,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",POL,Gold
1972,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",POL,Gold
1976,Summer,Shooting,"Trap, Open (Olympic)",POR,Silver
1972,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",PRK,Gold
2012,Summer,Shooting,"Skeet, Men (Olympic)",QAT,Bronze
1988,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",ROU,Gold
1992,Summer,Shooting,"Air Pistol, 10 metres, Men (Olympic)",ROU,Bronze
1960,Summer,Shooting,"Trap, Men (Olympic)",ROU,Gold
1980,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",ROU,Gold
1984,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",ROU,Silver
1972,Summer,Shooting,"Free Pistol, 50 metres, Open (Olympic)",ROU,Silver
1952,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",ROU,Bronze
1956,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",ROU,Bronze
1956,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",ROU,Gold
2000,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",ROU,Bronze
1968,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",ROU,Silver
1972,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",ROU,Bronze
1952,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",ROU,Gold
1964,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",ROU,Silver
1920,Summer,Shooting,"Military Rifle, Prone, 600 metres, Team, Men (Olympic)",RSA,Silver
2000,Summer,Shooting,"Skeet, Women (Olympic)",RUS,Silver
1996,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",RUS,Silver
1996,Summer,Shooting,"Air Pistol, 10 metres, Women (Olympic)",RUS,Gold
1988,Summer,Shooting,"Air Pistol, 10 metres, Women (Olympic)",URS,Bronze
1992,Summer,Shooting,"Air Pistol, 10 metres, Women (Olympic)",EUN,Gold
1992,Summer,Shooting,"Sporting Pistol, 25 metres, Women (Olympic)",EUN,Gold
1996,Summer,Shooting,"Air Pistol, 10 metres, Women (Olympic)",RUS,Silver
1996,Summer,Shooting,"Sporting Pistol, 25 metres, Women (Olympic)",RUS,Bronze
1988,Summer,Shooting,"Air Rifle, 10 metres, Women (Olympic)",URS,Bronze
2000,Summer,Shooting,"Air Rifle, 10 metres, Men (Olympic)",RUS,Bronze
1912,Summer,Shooting,"Trap, Men (Olympic)",RUS,Bronze
2004,Summer,Shooting,"Air Pistol, 10 metres, Men (Olympic)",RUS,Bronze
2008,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",RUS,Bronze
1996,Summer,Shooting,"Air Rifle, 10 metres, Men (Olympic)",RUS,Gold
2000,Summer,Shooting,"Air Rifle, 10 metres, Men (Olympic)",RUS,Silver
1912,Summer,Shooting,"Dueling Pistol, 30 metres, Team, Men (Olympic)",RUS,Silver
1996,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",RUS,Gold
2004,Summer,Shooting,"Running Target, 10 metres, Men (Olympic)",RUS,Bronze
2000,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",SLO,Gold
2008,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",SLO,Bronze
2012,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",SLO,Bronze
1920,Summer,Shooting,"Military Rifle, Prone, 300 and 600 metres, Team, Men (Olympic)",SUI,Bronze
1920,Summer,Shooting,"Military Pistol, Team, Men (Olympic)",SUI,Bronze
1920,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)",SUI,Bronze
2000,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",SUI,Silver
1952,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",SUI,Silver
1900,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)",SUI,Gold
1948,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",SUI,Gold
1924,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",SUI,Bronze
1900,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",SUI,Gold
1900,Summer,Shooting,"Free Rifle, Kneeling, 300 metres, Men (Olympic)",SUI,Silver
1920,Summer,Shooting,"Military Rifle, Prone, 300 metres, Men (Olympic)",SUI,Bronze
1900,Summer,Shooting,"Free Pistol, 50 metres, Team, Men (Olympic)",SUI,Gold
1968,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",SUI,Bronze
1984,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",SUI,Silver
1900,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SUI,Gold
1948,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SUI,Silver
1960,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",SUI,Silver
1900,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SUI,Bronze
1900,Summer,Shooting,"Free Rifle, Kneeling, 300 metres, Men (Olympic)",SUI,Gold
1920,Summer,Shooting,"Military Pistol, 30 metres, Men (Olympic)",SUI,Bronze
1996,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",SVK,Bronze
2004,Summer,Shooting,"Air Rifle, 10 metres, Men (Olympic)",SVK,Bronze
1920,Summer,Shooting,"Free Pistol, 50 metres, Team, Men (Olympic)",SWE,Silver
1908,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)",SWE,Silver
1912,Summer,Shooting,"Running Target, Single Shot, Team, Men (Olympic)",SWE,Gold
1912,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",SWE,Silver
1920,Summer,Shooting,"Running Target, Double Shot, Team, Men (Olympic)",SWE,Silver
1912,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)",SWE,Gold
1912,Summer,Shooting,"Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic)",SWE,Bronze
1920,Summer,Shooting,"Military Rifle, Prone, 600 metres, Team, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic)",SWE,Gold
1912,Summer,Shooting,"Free Pistol, 50 metres, Team, Men (Olympic)",SWE,Silver
1908,Summer,Fencing,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic)",SWE,Silver
1912,Summer,Fencing,"Free Pistol, 50 metres, Team, Men (Olympic)",SWE,Silver
1912,Summer,Fencing,"Dueling Pistol, 30 metres, Team, Men (Olympic)",SWE,Gold
1912,Summer,Fencing,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic)",SWE,Silver
1912,Summer,Fencing,"Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic)",SWE,Gold
1908,Summer,Shooting,"Small-Bore Rifle, 50 and 100 yards, Team, Men (Olympic)",SWE,Silver
1912,Summer,Shooting,"Dueling Pistol, 30 metres, Team, Men (Olympic)",SWE,Gold
1912,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic)",SWE,Silver
1912,Summer,Shooting,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic)",SWE,Gold
1924,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",SWE,Silver
1980,Summer,Shooting,"Skeet, Open (Olympic)",SWE,Silver
1912,Summer,Modern Pentathlon,"Individual, Men (Olympic)",SWE,Bronze
1912,Summer,Modern Pentathlon,"Free Pistol, 50 metres, Team, Men (Olympic)",SWE,Silver
1924,Summer,Shooting,"Running Target, Double Shot, Team, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic)",SWE,Bronze
1920,Summer,Shooting,"Military Rifle, Standing, 300 metres, Team, Men (Olympic)",SWE,Bronze
1920,Summer,Shooting,"Military Rifle, Prone, 600 metres, Men (Olympic)",SWE,Silver
1952,Summer,Shooting,"Trap, Men (Olympic)",SWE,Silver
1924,Summer,Shooting,"Running Target, Single Shot, Team, Men (Olympic)",SWE,Silver
1920,Summer,Shooting,"Smal-Bore Rifle, Standing, 50 metres, Team, Men (Olympic)",SWE,Silver
1920,Summer,Shooting,"Military Rifle, Prone, 600 metres, Men (Olympic)",SWE,Gold
1980,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",SWE,Bronze
1948,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",SWE,Bronze
1920,Summer,Shooting,"Trap, Team, Men (Olympic)",SWE,Bronze
1908,Summer,Shooting,"Running Target, Single Shot, Team, Men (Olympic)",SWE,Gold
1920,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",SWE,Silver
1952,Summer,Shooting,"Trap, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",SWE,Silver
1912,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",SWE,Gold
1948,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Dueling Pistol, 30 metres, Men (Olympic)",SWE,Silver
1932,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",SWE,Gold
1972,Summer,Shooting,"Free Pistol, 50 metres, Open (Olympic)",SWE,Gold
1984,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SWE,Silver
1988,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SWE,Silver
1992,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SWE,Bronze
1952,Summer,Shooting,"Running Target, Single and Double Shot, Men (Olympic)",SWE,Silver
1956,Summer,Shooting,"Running Target, Single and Double Shot, Men (Olympic)",SWE,Silver
1956,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",SWE,Gold
1920,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",SWE,Silver
1924,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",SWE,Bronze
1908,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",SWE,Gold
1908,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",SWE,Bronze
1936,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",SWE,Bronze
1936,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SWE,Gold
1948,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Dueling Pistol, 30 metres, Men (Olympic)",SWE,Bronze
1912,Summer,Shooting,"Small-Bore Rifle, Disappearing Target, 25 metres, Men (Olympic)",SWE,Silver
1988,Summer,Shooting,"Trap, Open (Olympic)",TCH,Silver
1972,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",TCH,Silver
1956,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",TCH,Silver
1992,Summer,Shooting,"Trap, Open (Olympic)",TCH,Gold
1968,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",TCH,Gold
2000,Summer,Shooting,"Skeet, Men (Olympic)",CZE,Silver
1964,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",TCH,Bronze
1976,Summer,Shooting,"Skeet, Open (Olympic)",TCH,Gold
1988,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",TCH,Gold
1988,Summer,Shooting,"Running Target, 50 metres, Men (Olympic)",URS,Bronze
1988,Summer,Shooting,"Trap, Open (Olympic)",URS,Gold
1988,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",URS,Bronze
1952,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",URS,Bronze
1952,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",URS,Silver
1992,Summer,Shooting,"Running Target, 10 metres, Men (Olympic)",EUN,Silver
1952,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",URS,Gold
1956,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",URS,Gold
1956,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",URS,Gold
1956,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",URS,Silver
1960,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",URS,Bronze
1956,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",URS,Silver
1992,Summer,Shooting,"Air Rifle, 10 metres, Men (Olympic)",EUN,Gold
1976,Summer,Shooting,"Running Target, 50 metres, Open (Olympic)",URS,Gold
1980,Summer,Shooting,"Running Target, 50 metres, Open (Olympic)",URS,Bronze
1960,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",URS,Gold
1988,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",URS,Bronze
1980,Summer,Shooting,"Trap, Open (Olympic)",URS,Silver
1960,Summer,Shooting,"Trap, Men (Olympic)",URS,Bronze
1976,Summer,Shooting,"Running Target, 50 metres, Open (Olympic)",URS,Silver
1968,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",URS,Silver
1968,Summer,Shooting,"Free Pistol, 50 metres, Open (Olympic)",URS,Gold
1964,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",URS,Silver
1976,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",URS,Bronze
1980,Summer,Shooting,"Free Pistol, 50 metres, Open (Olympic)",URS,Gold
1972,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",URS,Silver
1960,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",URS,Silver
1968,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",URS,Bronze
1968,Summer,Shooting,"Skeet, Open (Olympic)",URS,Gold
1972,Summer,Shooting,"Skeet, Open (Olympic)",URS,Silver
1992,Summer,Shooting,"Air Pistol, 10 metres, Men (Olympic)",EUN,Silver
1956,Summer,Shooting,"Running Target, Single and Double Shot, Men (Olympic)",URS,Gold
1964,Summer,Shooting,"Trap, Men (Olympic)",URS,Silver
1956,Summer,Shooting,"Running Target, Single and Double Shot, Men (Olympic)",URS,Bronze
1960,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",URS,Gold
1972,Summer,Shooting,"Running Target, 50 metres, Open (Olympic)",URS,Gold
1980,Summer,Shooting,"Running Target, 50 metres, Open (Olympic)",URS,Gold
1968,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",URS,Bronze
1956,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",URS,Silver
1972,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Open (Olympic)",URS,Bronze
1956,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",URS,Silver
1960,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",URS,Silver
1952,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",URS,Bronze
1980,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",URS,Gold
1960,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",URS,Bronze
1984,Summer,Shooting,"Sporting Pistol, 25 metres, Women (Olympic)",USA,Silver
1984,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",USA,Bronze
1992,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",USA,Gold
2000,Summer,Shooting,"Air Rifle, 10 metres, Women (Olympic)",USA,Gold
1996,Summer,Shooting,"Double Trap, Women (Olympic)",USA,Gold
2000,Summer,Shooting,"Double Trap, Women (Olympic)",USA,Bronze
2004,Summer,Shooting,"Double Trap, Women (Olympic)",USA,Gold
2008,Summer,Shooting,"Skeet, Women (Olympic)",USA,Silver
2012,Summer,Shooting,"Skeet, Women (Olympic)",USA,Gold
2016,Summer,Shooting,"Skeet, Women (Olympic)",USA,Bronze
1984,Summer,Shooting,"Air Rifle, 10 metres, Women (Olympic)",USA,Gold
1976,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",USA,Silver
1912,Summer,Shooting,"Military Rifle, 200, 400, 500 and 600 metres, Team, Men (Olympic)",USA,Gold
1964,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",USA,Gold
1968,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",USA,Gold
2004,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Trap, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Trap, Team, Men (Olympic)",USA,Gold
1972,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Open (Olympic)",USA,Silver
1908,Summer,Shooting,"Free Pistol, 50 yards, Team, Men (Olympic)",USA,Gold
1996,Summer,Shooting,"Trap, Men (Olympic)",USA,Bronze
1924,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",USA,Gold
1972,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",USA,Silver
1976,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",USA,Gold
1908,Summer,Shooting,"Military Rifle, 200/500/600/800/900/1,000 yards, Team, Men (Olympic)",USA,Gold
1952,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Gold
1912,Summer,Shooting,"Trap, Team, Men (Olympic)",USA,Gold
1924,Summer,Shooting,"Running Target, Single Shot, Men (Olympic)",USA,Gold
1924,Summer,Shooting,"Running Target, Single Shot, Team, Men (Olympic)",USA,Bronze
1920,Summer,Shooting,"Free Pistol, 50 metres, Team, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Military Pistol, 30 metres, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Military Rifle, Standing, 300 metres, Team, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Running Target, Single Shot, Team, Men (Olympic)",USA,Bronze
1988,Summer,Shooting,"Air Pistol, 10 metres, Men (Olympic)",USA,Silver
1984,Summer,Shooting,"Trap, Open (Olympic)",USA,Bronze
1908,Summer,Shooting,"Free Rifle, 1,000 yards, Men (Olympic)",USA,Silver
1948,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Gold
1924,Summer,Shooting,"Free Rifle, 400, 600 and 800 metres, Team, Men (Olympic)",USA,Gold
1912,Summer,Shooting,"Free Pistol, 50 metres, Team, Men (Olympic)",USA,Gold
1924,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Silver
1912,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Silver
1984,Summer,Shooting,"Skeet, Open (Olympic)",USA,Gold
1924,Summer,Shooting,"Trap, Team, Men (Olympic)",USA,Gold
1984,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Team, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Military Rifle, Prone, 600 metres, Team, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Small-Bore Rifle, Standing, 50 metres, Men (Olympic)",USA,Bronze
1920,Summer,Shooting,"Smal-Bore Rifle, Standing, 50 metres, Team, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Military Rifle, Prone, 300 metres, Team, Men (Olympic)",USA,Gold
1924,Summer,Shooting,"Free Rifle, Prone, 600 metres, Men (Olympic)",USA,Gold
1992,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Military Pistol, Team, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Gold
1968,Summer,Shooting,"Trap, Open (Olympic)",USA,Silver
1908,Summer,Shooting,"Free Pistol, 50 yards, Men (Olympic)",USA,Bronze
1912,Summer,Shooting,"Trap, Men (Olympic)",USA,Gold
2000,Summer,Shooting,"Skeet, Men (Olympic)",USA,Bronze
1964,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Silver
1964,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",USA,Bronze
1976,Summer,Shooting,"Trap, Open (Olympic)",USA,Gold
1960,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Silver
1912,Summer,Shooting,"Small-Bore Rifle, Any Position, 50 metres, Men (Olympic)",USA,Gold
1912,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Team, Men (Olympic)",USA,Bronze
1912,Summer,Shooting,"Small-Bore Rifle, Disappearing Target, 25 metres, Team, Men (Olympic)",USA,Bronze
1924,Summer,Shooting,"Trap, Men (Olympic)",USA,Bronze
1952,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Bronze
1912,Summer,Shooting,"Military Rifle, Any Position, 600 metres, Men (Olympic)",USA,Bronze
1920,Summer,Shooting,"Military Rifle, Prone, 300 and 600 metres, Team, Men (Olympic)",USA,Gold
1996,Summer,Shooting,"Trap, Men (Olympic)",USA,Silver
1912,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Gold
1912,Summer,Shooting,"Dueling Pistol, 30 metres, Men (Olympic)",USA,Gold
1920,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Bronze
1912,Summer,Shooting,"Running Target, Single Shot, Team, Men (Olympic)",USA,Silver
1960,Summer,Shooting,"Rapid-Fire Pistol, 25 metres, Men (Olympic)",USA,Gold
1964,Summer,Shooting,"Trap, Men (Olympic)",USA,Bronze
1920,Summer,Shooting,"Military Rifle, Standing, 300 metres, Men (Olympic)",USA,Bronze
1920,Summer,Shooting,"Small-Bore Rifle, Standing, 50 metres, Men (Olympic)",USA,Gold
1912,Summer,Shooting,"Military Rifle, Three Positions, 300 metres, Men (Olympic)",USA,Silver
1912,Summer,Shooting,"Military Rifle, Any Position, 600 metres, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Military Rifle, Standing, 300 metres, Men (Olympic)",USA,Gold
1924,Summer,Shooting,"Free Rifle, Prone, 600 metres, Men (Olympic)",USA,Silver
1896,Summer,Shooting,"Military Pistol, 25 metres, Men (Olympic)",USA,Gold
1896,Summer,Shooting,"Free Pistol, 30 metres, Men (Olympic)",USA,Gold
1896,Summer,Shooting,"Military Pistol, 25 metres, Men (Olympic)",USA,Silver
1956,Summer,Shooting,"Free Pistol, 50 metres, Men (Olympic)",USA,Bronze
1964,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Bronze
1920,Summer,Shooting,"Small-Bore Rifle, Standing, 50 metres, Men (Olympic)",USA,Silver
1908,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Military Rifle, Prone, 600 metres, Men (Olympic)",USA,Bronze
1948,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Silver
1920,Summer,Shooting,"Trap, Men (Olympic)",USA,Silver
1964,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Men (Olympic)",USA,Gold
1964,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",USA,Silver
1972,Summer,Shooting,"Free Rifle, Three Positions, 300 metres, Open (Olympic)",USA,Gold
1908,Summer,Shooting,"Running Target, Double Shot, Men (Olympic)",USA,Gold
1912,Summer,Shooting,"Sculpturing, Open (Olympic)",USA,Gold
1920,Summer,Shooting,"Trap, Men (Olympic)",USA,Bronze
1968,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",USA,Silver
1972,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Open (Olympic)",USA,Gold
1960,Summer,Shooting,"Small-Bore Rifle, Prone, 50 metres, Men (Olympic)",VEN,Bronze
1992,Summer,Shooting,"Air Rifle, 10 metres, Women (Olympic)",IOA,Bronze
1996,Summer,Shooting,"Air Rifle, 10 metres, Women (Olympic)",SCG,Bronze
1996,Summer,Shooting,"Small-Bore Rifle, Three Positions, 50 metres, Women (Olympic)",SCG,Gold
1988,Summer,Shooting,"Air Pistol, 10 metres, Women (Olympic)",YUG,Gold
